7:[G, B, D, G, D, H, B, H, D, D, B, B, G, H, H, G, H, H, B, B]
3:[G, B, D, G, D, H, B, H, D, D, B, B, G, H, G, G, H, H, B, H]
6:[B, H, B, G, D, G, D, G, H, G, B, D, H, D, G, B, D, D, G, D]
8:[G, H, B, G, D, D, D, G, H, G, B, D, H, D, G, B, B, D, G, D]
5:[G, B, B, D, D, G, D, G, H, G, B, D, H, D, G, B, D, G, G, D]
2:[H, B, D, G, D, H, B, H, G, D, B, B, G, D, G, G, D, H, B, G]
9:[H, B, H, G, D, D, B, H, G, G, B, H, G, D, G, D, D, B, B, H]
1:[H, B, D, G, D, H, B, H, G, D, B, B, G, H, G, B, H, H, B, B]
4:[G, B, H, G, D, D, D, G, H, G, B, H, B, D, G, D, H, D, G, G]
10:[G, H, H, D, D, G, B, G, H, G, B, D, H, D, G, B, D, D, G, G]
