983f3b90-cc12-4df0-a054-0c6d11d535fe:[H, H, H, D, G, B, H, B, H, H]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[G, D, G, D, B, H, G, G, H, G]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[B, B, B, D, B, G, G, G, B, H]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[G, H, B, D, B, B, B, B, D, D]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[H, H, B, B, B, B, D, B, H, G]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[H, D, H, B, H, B, D, B, B, H]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[H, H, H, D, B, B, H, B, H, H]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[B, B, B, H, B, B, H, D, B, G]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[B, B, B, D, B, H, D, D, B, H]
983f3b90-cc12-4df0-a054-0c6d11d535fe:[B, B, B, D, B, H, D, G, D, B]
